ID,OriginalAmount,Term,YearlyInterestRate,CurrentInstallment,PD
16017,5269,23,29%,14,1.99%
16018,7632,23,16%,18,1.06%
16019,2532,24,18%,12,5.33%
16020,3217,25,28%,12,0.33%
16021,7676,23,19%,9,15.37%
16022,2745,23,24%,1,0.77%
16023,8511,23,12%,14,61.28%
16024,3894,22,13%,20,69.49%
16025,6174,21,26%,5,4.36%
16026,17706,44,21%,40,11.57%
16027,37870,23,15%,10,0.30%
16028,25495,22,18%,5,70.28%
16029,20339,40,30%,7,0.20%
16030,3219,22,23%,13,16.03%
16031,6537,20,13%,6,44.32%
16032,1617,11,5%,3,99.09%
16033,1719,12,32%,10,8.37%
16034,2614,47,32%,17,0.37%
16035,1697,42,15%,39,8.01%
16036,4681,24,29%,13,51.37%
16037,2529,24,27%,19,82.34%
16038,4414,35,22%,7,49.01%
16039,1788,11,13%,9,0.00%
16040,10780,23,24%,15,39.20%
16041,2090,21,28%,6,63.66%
16042,10041,22,8%,17,14.27%
16043,1244,32,12%,1,0.21%
16044,5144,59,7%,8,78.47%
16045,6007,23,26%,4,71.21%
16046,5272,39,12%,29,11.17%
16047,7844,31,31%,16,2.51%
16048,6872,47,27%,41,20.36%
16049,24509,23,10%,13,49.63%
16050,25561,22,18%,5,2.82%
16051,1656,24,19%,4,58.48%
16052,7298,59,30%,18,53.52%
16053,7851,35,16%,8,28.39%
16054,18009,12,27%,1,15.81%
16055,4792,23,32%,2,0.32%
16056,3196,12,16%,8,62.64%
16057,132168,22,26%,8,0.36%
16058,2092,36,20%,15,58.71%
16059,4919,23,19%,14,71.60%
16060,2750,12,12%,3,18.44%
16061,19442,59,20%,39,0.51%
16062,2084,23,15%,20,10.98%
16063,4315,23,11%,14,0.00%
16064,26007,45,31%,40,79.97%
16065,18082,23,30%,13,14.03%
16066,1641,37,24%,23,87.79%
16067,10212,12,10%,5,1.54%
16068,2173,25,26%,5,5.94%
16069,10122,23,21%,15,5.58%
16070,8731,47,21%,23,51.51%
16071,1802,12,23%,3,1.65%
16072,12257,35,6%,23,0.54%
16073,27031,12,6%,1,39.49%
16074,5178,33,10%,1,1.78%
16075,4118,24,19%,15,4.89%
16076,1693,35,25%,19,72.72%
16077,2302,22,26%,12,0.09%
16078,17103,35,8%,2,0.19%
16079,6379,24,26%,11,39.01%
16080,2198,22,29%,13,5.47%
16081,7902,42,26%,32,67.89%
16082,25046,23,29%,12,29.24%
16083,1705,17,28%,12,0.05%
16084,6802,24,27%,9,50.37%
16085,8992,35,15%,9,23.53%
16086,3736,20,5%,12,97.28%
16087,5203,12,7%,8,27.95%
16088,6799,22,7%,19,28.49%
16089,5357,46,16%,10,0.12%
16090,8458,22,9%,6,7.44%
16091,6717,23,14%,3,31.30%
16092,8087,16,8%,14,0.76%
16093,2010,13,14%,10,13.95%
16094,11047,36,26%,13,3.92%
16095,5861,22,20%,17,10.68%
16096,8120,46,10%,24,23.27%
16097,5440,24,29%,3,2.52%
16098,3557,23,8%,17,5.43%
16099,6802,48,9%,43,7.19%
16100,4234,48,8%,17,55.74%
16101,1689,12,21%,10,11.03%
16102,8113,36,32%,23,0.18%
16103,4091,12,12%,9,14.40%
16104,8507,34,17%,23,0.62%
16105,1839,13,5%,1,10.73%
16106,2275,22,16%,3,40.74%
16107,2930,20,15%,10,2.09%
16108,2716,11,20%,9,29.22%
16109,7686,23,6%,5,98.52%
16110,3859,35,11%,5,0.93%
16111,18537,24,27%,13,74.05%
16112,8680,15,27%,6,14.33%
16113,13433,23,15%,14,72.75%
16114,12774,44,16%,1,41.80%
16115,3527,35,31%,26,71.96%
16116,4859,11,13%,9,0.00%
16117,1153,22,8%,16,4.33%
16118,4963,54,16%,48,0.67%
16119,18707,30,17%,16,24.62%
16120,6207,12,16%,4,29.18%
16121,1425,23,22%,10,34.45%
16122,2251,45,24%,38,11.32%
16123,2082,31,31%,11,0.16%
16124,3640,16,25%,13,2.59%
16125,16849,21,32%,1,31.39%
16126,13679,36,24%,4,92.72%
16127,2014,21,11%,11,1.52%
16128,6874,23,26%,11,57.60%
16129,6714,24,8%,14,83.86%
16130,12312,31,14%,1,66.81%
16131,1510,11,15%,2,94.93%
16132,6566,11,11%,1,2.83%
16133,3330,23,13%,2,1.29%
16134,6412,24,20%,17,17.76%
16135,2408,22,28%,11,79.59%
16136,4488,22,20%,16,0.03%
16137,26821,31,19%,13,0.01%
16138,2772,20,24%,15,1.83%
16139,2645,19,26%,10,63.83%
16140,13428,11,23%,1,0.08%
16141,1571,23,14%,8,7.96%
16142,16904,43,5%,36,91.27%
16143,5798,24,16%,1,0.22%
16144,2565,23,15%,4,6.27%
16145,3767,24,30%,19,1.13%
16146,2969,47,6%,39,37.42%
16147,2460,48,15%,41,2.86%
16148,5987,23,9%,18,0.05%
16149,6356,23,21%,19,0.30%
16150,9657,19,10%,6,0.90%
16151,3872,12,22%,7,58.93%
16152,11964,21,12%,4,31.17%
16153,11077,36,22%,14,11.20%
16154,1899,11,8%,2,5.92%
16155,2133,23,26%,12,41.25%
16156,3477,23,16%,3,0.06%
16157,8208,12,14%,6,72.31%
16158,7501,23,27%,18,15.77%
16159,2520,23,23%,3,91.23%
16160,7700,24,9%,18,29.54%
16161,1565,24,9%,1,14.25%
16162,4913,34,15%,17,3.79%
16163,17006,35,24%,21,2.48%
16164,13476,22,16%,11,31.01%
16165,1499,23,10%,18,0.28%
16166,6203,23,18%,19,0.02%
16167,8218,22,17%,9,24.65%
16168,8474,23,8%,7,9.01%
16169,1432,23,20%,9,41.99%
16170,5478,22,26%,12,42.63%
16171,5163,11,27%,4,78.45%
16172,1858,47,29%,43,2.55%
16173,8224,36,26%,18,9.78%
16174,14948,22,10%,11,55.65%
16175,1489,47,16%,28,49.76%
16176,23587,11,21%,3,43.64%
16177,11134,22,14%,3,1.03%
16178,5403,23,20%,5,47.18%
16179,13691,21,27%,15,1.36%
16180,2405,33,18%,26,46.77%
16181,11874,47,11%,22,2.22%
16182,5671,23,26%,18,26.23%
16183,3890,21,19%,19,1.90%
16184,1491,12,17%,5,54.33%
16185,2784,23,26%,14,0.73%
16186,10564,42,10%,26,11.31%
16187,3620,36,19%,24,3.58%
16188,33148,23,19%,10,5.29%
16189,8058,23,32%,21,0.73%
16190,2769,23,11%,9,0.00%
16191,1164,22,9%,15,86.20%
16192,5726,23,8%,20,51.78%
16193,5405,41,7%,24,7.14%
16194,34446,22,32%,17,53.20%
16195,4953,22,17%,7,28.00%
16196,5451,48,6%,44,0.52%
16197,8761,47,15%,39,60.76%
16198,1988,22,28%,16,36.85%
16199,1413,11,25%,3,21.08%
16200,4386,34,7%,28,7.36%
16201,4453,19,28%,2,96.07%
16202,11247,34,13%,8,90.84%
16203,13999,36,8%,1,0.43%
16204,4272,23,19%,11,60.90%
16205,3834,23,22%,15,43.83%
16206,72453,23,16%,11,26.27%
16207,13117,13,16%,5,0.05%
16208,16846,11,29%,1,70.32%
16209,2605,22,26%,12,7.19%
16210,4216,11,13%,1,6.87%
16211,4705,22,21%,13,27.26%
16212,37264,23,8%,13,4.89%
16213,3022,48,30%,11,47.07%
16214,6292,23,20%,10,0.03%
16215,1584,20,20%,9,96.20%
16216,2699,35,23%,30,87.99%
16217,2579,21,6%,5,0.73%
16218,1569,22,18%,17,74.48%
16219,1959,27,11%,24,44.01%
16220,3739,17,18%,10,7.59%
16221,13793,24,11%,17,0.14%
16222,4638,47,12%,32,87.92%
16223,2110,23,11%,14,5.52%
16224,3591,18,7%,6,20.29%
16225,1535,19,13%,10,91.49%
16226,3835,23,14%,17,28.17%
16227,7447,22,20%,18,42.22%
16228,7199,35,14%,29,2.67%
16229,9783,12,32%,7,2.86%
16230,24261,47,14%,12,6.20%
16231,4206,11,15%,4,29.81%
16232,8501,22,24%,6,0.37%
16233,12585,22,17%,7,13.84%
16234,10718,23,13%,19,37.42%
16235,2910,23,11%,2,0.85%
16236,6711,24,32%,16,20.08%
16237,7636,26,13%,16,0.74%
16238,2670,47,25%,45,6.71%
16239,4814,47,12%,10,0.03%
16240,6587,23,6%,15,0.04%
16241,15437,23,30%,19,33.53%
16242,1789,22,16%,16,27.66%
16243,6715,35,10%,22,28.84%
16244,12679,23,27%,1,0.60%
16245,4814,35,18%,23,83.89%
16246,15549,22,31%,18,0.01%
16247,1882,22,17%,16,7.66%
16248,10850,48,15%,18,12.19%
16249,8209,23,11%,11,7.66%
16250,2428,23,10%,17,15.06%
16251,39573,23,32%,14,18.75%
16252,3645,22,9%,13,51.51%
16253,2332,11,18%,3,0.11%
16254,11267,12,13%,7,45.07%
16255,5530,20,14%,16,6.28%
16256,6022,23,31%,14,37.53%
16257,12885,23,10%,19,1.64%
16258,3432,22,27%,20,1.75%
16259,3442,45,6%,19,3.50%
16260,3513,35,28%,24,34.06%
16261,18195,22,10%,3,0.16%
16262,6118,20,13%,10,54.57%
16263,26011,24,26%,19,3.78%
16264,7289,23,13%,10,79.63%
16265,1163,12,16%,1,41.37%
16266,8409,19,7%,10,3.27%
16267,12916,24,23%,4,87.08%
16268,6356,11,28%,3,66.88%
16269,4002,21,27%,11,10.02%
16270,7960,46,8%,1,0.48%
16271,2625,19,19%,12,47.91%
16272,50425,48,28%,31,3.12%
16273,1286,12,31%,10,12.93%
16274,1319,18,5%,15,4.07%
16275,9601,48,23%,37,52.33%
16276,2655,24,14%,10,45.66%
16277,2911,22,29%,8,68.08%
16278,40554,60,13%,55,40.18%
16279,8450,24,21%,8,0.72%
16280,6402,24,14%,21,7.54%
16281,3526,23,15%,9,77.33%
16282,1863,23,10%,16,75.23%
16283,1296,22,21%,3,87.07%
16284,1636,22,26%,8,4.83%
16285,9114,23,18%,17,55.04%
16286,5055,22,18%,10,36.47%
16287,4251,17,26%,5,15.57%
16288,7042,23,16%,10,0.02%
16289,3880,24,9%,8,36.31%
16290,11702,24,5%,2,24.88%
16291,11289,36,11%,30,52.53%
16292,4290,51,23%,1,28.18%
16293,7716,12,5%,6,0.00%
16294,4151,35,24%,12,3.35%
16295,9365,23,23%,10,0.00%
16296,1190,22,20%,16,0.06%
16297,21591,27,10%,20,8.72%
16298,12303,48,32%,31,0.29%
16299,1884,23,6%,7,74.71%
16300,2910,23,22%,10,15.57%
16301,4940,24,23%,1,0.09%
16302,7743,31,13%,1,76.45%
16303,9199,23,16%,1,86.27%
16304,13818,23,6%,16,32.46%
16305,1498,24,31%,17,51.35%
16306,8954,23,7%,6,48.45%
16307,17454,24,14%,16,7.64%
16308,11832,46,27%,40,0.00%
16309,9720,41,22%,34,21.80%
16310,20146,23,8%,10,22.77%
16311,3825,35,25%,33,1.10%
16312,2874,24,24%,7,53.50%
16313,12355,21,21%,17,2.68%
16314,15965,35,20%,9,3.58%
16315,2941,22,30%,4,0.16%
16316,15388,22,21%,14,32.41%
16317,13496,19,6%,10,13.44%
16318,1860,43,19%,20,65.67%
16319,3333,48,30%,37,0.00%
16320,1749,22,26%,6,82.16%
16321,5500,22,23%,1,0.95%
16322,5343,12,12%,1,34.19%
16323,5217,24,6%,7,79.01%
16324,2121,22,23%,20,0.07%
16325,10199,23,22%,16,40.64%
16326,3807,22,29%,6,25.82%
16327,1657,35,17%,29,0.60%
16328,3872,12,32%,8,2.33%
16329,2415,23,29%,8,97.30%
16330,3253,23,13%,7,5.36%
16331,19113,47,9%,39,76.78%
16332,6891,35,6%,9,95.72%
16333,7912,19,6%,5,60.05%
16334,13492,23,17%,14,37.61%
16335,3808,19,11%,10,4.70%
16336,7298,47,32%,43,3.90%
16337,3967,23,9%,13,8.09%
16338,4242,22,15%,9,0.83%
16339,2170,23,32%,18,10.62%
16340,2636,23,7%,19,3.38%
16341,5453,32,13%,5,4.14%
16342,2852,33,30%,3,0.07%
16343,5949,47,16%,29,13.87%
16344,6274,23,31%,5,54.65%
16345,16420,19,8%,5,10.00%
16346,4594,47,15%,25,0.01%
16347,5539,21,25%,12,0.97%
16348,5740,23,8%,17,0.81%
16349,8156,47,13%,6,11.17%
16350,5227,22,15%,11,0.33%
16351,6722,23,11%,14,32.63%
16352,4118,11,31%,1,24.92%
16353,2253,12,11%,8,96.71%
16354,1733,22,28%,9,5.39%
16355,5162,28,12%,17,0.07%
16356,1390,20,30%,13,20.64%
16357,6422,47,10%,29,6.39%
16358,26234,47,21%,35,1.66%
16359,3217,23,25%,1,0.05%
16360,12123,24,18%,7,0.14%
16361,8083,23,31%,4,34.65%
16362,37220,24,13%,22,1.34%
16363,3820,22,8%,20,19.81%
16364,3427,23,20%,11,21.57%
16365,4969,47,17%,12,49.45%
16366,2009,22,16%,9,76.92%
16367,2937,23,27%,14,0.99%
16368,3867,24,25%,8,0.19%
16369,6162,47,6%,26,9.17%
16370,12355,23,10%,18,18.08%
16371,3493,21,31%,8,1.83%
16372,13366,35,15%,24,5.39%
16373,7327,23,32%,16,56.74%
16374,30683,35,12%,10,6.49%
16375,5818,35,15%,4,0.97%
16376,3101,23,14%,18,84.07%
16377,3104,23,31%,17,32.75%
16378,9253,23,32%,11,20.03%
16379,34422,23,5%,19,0.00%
16380,1318,14,25%,8,85.55%
16381,4276,35,24%,4,0.59%
16382,47882,46,6%,2,5.30%
16383,3638,12,7%,5,2.99%
16384,29243,41,10%,10,0.66%
16385,2540,12,5%,6,0.00%
16386,3286,23,17%,17,9.70%
16387,6838,22,11%,14,14.91%
16388,13581,35,28%,29,22.52%
16389,4588,12,32%,6,57.88%
16390,3645,21,29%,9,0.85%
16391,8595,24,14%,14,54.17%
16392,6513,47,7%,13,0.03%
16393,7333,17,6%,1,65.92%
16394,2736,23,28%,1,4.28%
16395,2617,33,20%,18,29.19%
16396,15443,36,10%,29,78.56%
16397,7995,47,8%,40,8.73%
16398,5445,46,30%,8,14.45%
16399,8445,36,32%,12,0.02%
16400,11077,47,6%,26,4.77%
16401,6307,13,29%,8,0.29%
16402,1294,13,27%,7,4.73%
16403,8396,21,21%,15,0.89%
16404,4594,20,13%,7,16.53%
16405,19207,59,19%,36,1.02%
16406,8555,20,25%,11,1.34%
16407,3982,11,31%,3,0.82%
16408,1797,12,5%,6,13.09%
16409,12057,35,7%,22,59.62%
16410,4639,12,23%,8,0.45%
16411,5445,22,24%,12,9.25%
16412,6167,23,7%,5,1.39%
16413,6478,25,6%,10,97.72%
16414,3372,23,24%,7,66.20%
16415,27611,23,22%,6,0.12%
16416,5533,47,21%,23,12.31%
16417,2032,22,15%,8,0.55%
16418,3216,23,19%,3,43.35%
16419,1581,11,18%,3,87.54%
16420,1286,23,17%,1,23.69%
16421,6845,45,28%,8,41.11%
16422,3842,24,15%,10,9.24%
16423,4981,21,27%,17,96.95%
16424,9590,48,7%,25,0.95%
16425,3195,35,17%,8,1.42%
16426,8164,48,29%,26,0.04%
16427,24433,19,19%,9,2.66%
16428,7256,11,5%,3,0.11%
16429,7185,23,19%,2,26.59%
16430,8437,21,11%,5,18.51%
16431,1943,11,26%,7,25.17%
16432,22323,23,23%,12,12.06%
16433,6291,56,6%,43,2.84%
16434,7887,47,26%,11,0.19%
16435,7607,22,6%,14,14.53%
16436,2060,11,24%,8,0.17%
16437,6775,35,21%,23,43.76%
16438,6954,24,5%,5,1.24%
16439,13561,12,8%,5,1.16%
16440,8482,36,18%,13,47.19%
16441,14392,48,9%,28,0.28%
16442,7035,47,25%,19,0.91%
16443,5149,34,22%,18,68.54%
16444,5272,36,22%,34,0.90%
16445,2473,20,12%,1,0.14%
16446,2529,23,12%,18,0.00%
16447,3300,11,14%,4,80.84%
16448,1369,47,10%,14,1.84%
16449,3241,22,19%,9,76.61%
16450,5837,35,24%,32,4.63%
16451,8154,24,9%,18,0.01%
16452,7815,27,16%,5,32.19%
16453,12605,25,32%,7,0.02%
16454,12532,59,15%,15,0.00%
16455,7776,23,5%,6,32.92%
16456,2849,24,30%,15,46.26%
16457,19364,35,21%,28,10.08%
16458,5523,47,21%,5,73.73%
16459,5899,23,14%,20,69.72%
16460,7804,36,21%,12,76.12%
16461,1263,14,16%,1,5.56%
16462,1470,59,5%,51,6.43%
16463,1560,22,30%,5,47.71%
16464,10141,13,17%,2,16.91%
16465,7901,47,28%,40,77.99%
16466,53914,21,13%,12,37.73%
16467,4982,35,5%,9,22.28%
16468,18753,11,11%,8,17.38%
16469,4272,23,20%,20,6.31%
16470,10510,35,11%,13,39.50%
16471,2301,23,19%,12,1.35%
16472,7370,47,8%,28,20.73%
16473,5692,22,8%,10,17.48%
16474,1681,11,26%,1,53.20%
16475,8483,32,28%,22,89.78%
16476,25479,47,14%,9,53.73%
16477,9319,20,28%,11,38.20%
16478,37787,21,17%,14,9.21%
16479,10666,47,28%,7,0.22%
16480,2625,59,6%,43,6.78%
16481,16087,21,13%,5,0.00%
16482,3887,47,31%,32,77.59%
16483,1717,48,19%,45,0.05%
16484,10065,34,6%,17,6.19%
16485,5300,23,8%,1,9.33%
16486,34926,23,18%,21,6.27%
16487,11239,33,8%,3,62.61%
16488,21009,23,8%,12,81.32%
16489,2453,23,11%,5,0.37%
16490,56451,24,15%,20,0.00%
16491,2490,17,23%,11,33.23%
16492,4977,45,8%,37,78.30%
16493,7998,48,29%,44,27.68%
16494,1414,19,18%,10,16.03%
16495,11939,23,30%,5,9.42%
16496,4248,21,24%,13,0.59%
16497,26687,48,18%,12,0.00%
16498,3687,19,17%,7,0.00%
16499,3687,35,6%,4,0.29%
16500,2342,12,28%,6,30.97%
16501,3878,23,16%,1,1.70%
16502,8948,20,9%,6,4.49%
16503,2994,36,13%,34,2.42%
16504,2110,59,20%,53,24.09%
16505,3263,34,10%,17,0.07%
16506,8600,22,12%,14,51.16%
16507,4092,20,17%,16,11.21%
16508,5448,45,13%,38,0.19%
16509,1636,23,14%,3,0.86%
16510,11758,24,17%,2,19.96%
16511,2642,11,20%,3,54.84%
16512,22120,46,5%,39,26.30%
16513,13195,23,20%,17,27.43%
16514,3699,23,12%,12,27.29%
16515,23679,11,26%,7,43.62%
16516,3371,29,11%,7,0.07%
16517,3448,23,24%,19,91.64%
16518,3467,20,10%,16,9.20%
16519,2463,20,27%,14,36.43%
16520,2213,23,5%,2,4.02%
16521,13259,33,25%,11,27.14%
16522,29286,22,19%,12,15.46%
16523,5359,12,8%,8,33.33%
16524,2794,23,5%,11,15.12%
16525,18855,27,6%,4,6.94%
16526,3314,23,8%,11,5.14%
16527,14473,24,25%,10,26.81%
16528,1937,22,23%,15,58.83%
16529,6331,24,25%,14,7.41%
16530,2552,23,25%,9,8.08%
16531,3355,12,21%,8,77.31%
16532,2901,36,25%,22,48.84%
16533,1892,47,28%,31,1.88%
16534,13044,23,21%,9,0.06%
16535,4555,20,22%,9,17.44%
16536,4614,34,16%,10,29.05%
16537,2617,22,23%,8,0.07%
16538,11247,35,5%,31,28.37%
16539,5643,23,5%,21,7.15%
16540,6659,35,7%,18,11.71%
16541,11151,23,30%,19,2.20%
16542,3364,33,22%,8,5.19%
16543,6742,11,19%,6,2.76%
16544,7967,23,10%,14,11.48%
16545,5452,55,29%,47,90.95%
16546,2598,23,12%,18,0.00%
16547,38555,62,17%,50,0.47%
16548,1164,11,5%,8,51.51%
16549,1842,35,12%,9,0.00%
16550,13518,35,20%,9,6.37%
16551,7269,21,12%,15,29.53%
16552,19697,58,22%,2,1.28%
16553,3055,13,10%,1,2.33%
16554,46163,35,24%,17,60.85%
16555,1688,35,17%,4,0.59%
16556,2374,23,13%,9,0.30%
16557,2411,35,28%,18,4.74%
16558,6501,23,6%,11,4.72%
16559,15437,35,11%,14,96.95%
16560,3023,23,23%,13,8.80%
16561,8870,23,29%,12,0.00%
16562,1423,35,20%,12,39.34%
16563,7225,24,7%,4,18.34%
16564,2001,36,29%,14,95.32%
16565,7663,23,18%,14,5.67%
16566,2110,19,14%,16,1.05%
16567,2216,20,8%,14,6.04%
16568,6237,23,28%,8,9.18%
16569,5036,21,19%,14,14.62%
16570,3497,23,8%,14,53.19%
16571,2786,19,30%,9,7.66%
16572,16428,22,23%,4,0.33%
16573,12006,19,24%,1,0.02%
16574,4768,22,16%,13,57.31%
16575,2100,23,8%,20,18.84%
16576,17676,42,15%,22,87.46%
16577,3111,22,26%,5,8.52%
16578,7815,33,14%,11,10.44%
16579,2476,21,17%,9,51.27%
16580,9823,11,28%,1,81.72%
16581,8997,47,16%,43,16.33%
16582,13274,23,8%,4,90.37%
16583,6307,24,5%,4,13.34%
16584,2680,11,17%,9,0.00%
16585,9816,23,19%,4,4.01%
16586,7996,35,12%,16,7.65%
16587,3999,33,13%,12,13.52%
16588,9939,20,26%,9,3.39%
16589,6591,23,11%,16,53.52%
16590,15003,23,26%,13,52.44%
16591,4784,23,11%,5,1.84%
16592,2422,11,6%,4,23.92%
16593,9707,22,14%,12,23.92%
16594,1352,23,32%,1,5.06%
16595,5055,11,11%,1,55.72%
16596,5378,24,16%,13,3.14%
16597,8225,35,10%,11,22.90%
16598,8264,22,19%,1,37.87%
16599,5701,24,12%,17,0.04%
16600,2938,23,25%,12,13.59%
16601,10658,22,27%,1,0.20%
16602,2760,23,15%,17,1.80%
16603,12036,36,14%,3,0.43%
16604,4016,22,12%,14,51.36%
16605,7439,17,16%,13,9.45%
16606,6307,23,11%,6,45.79%
16607,13504,35,10%,20,28.39%
16608,5252,36,14%,28,5.77%
16609,7248,47,16%,19,40.99%
16610,5324,34,14%,25,97.52%
16611,4543,47,7%,8,4.18%
16612,4127,17,24%,4,2.24%
16613,1532,48,9%,6,0.00%
16614,9729,22,31%,7,19.15%
16615,10483,24,16%,21,57.30%
16616,6672,24,10%,21,34.53%
16617,3745,23,11%,12,32.71%
16618,3294,45,26%,33,12.23%
16619,1220,23,5%,21,23.99%
16620,2227,34,17%,18,21.31%
16621,5498,25,25%,20,76.25%
16622,11228,23,7%,2,13.85%
16623,5956,47,15%,8,15.58%
16624,2426,23,7%,14,99.91%
16625,3800,23,11%,14,22.07%
16626,2147,18,23%,14,58.95%
16627,7193,22,14%,12,72.15%
16628,3202,47,27%,22,20.95%
16629,8426,38,12%,7,57.87%
16630,7902,36,23%,21,5.52%
16631,9448,23,15%,18,0.64%
16632,6399,60,6%,6,2.48%
16633,5579,48,29%,22,21.05%
16634,3865,23,26%,2,36.50%
16635,10639,23,21%,10,27.03%
16636,3519,22,28%,3,2.84%
16637,2170,23,24%,10,54.12%
16638,31596,59,28%,3,11.76%
16639,52623,47,28%,34,70.99%
16640,4493,48,11%,5,16.85%
16641,12396,47,26%,22,2.50%
16642,2167,11,29%,4,1.79%
16643,1457,13,30%,10,0.16%
16644,3920,23,5%,5,3.28%
16645,5565,22,13%,9,68.12%
16646,6476,23,7%,7,36.62%
16647,2977,22,7%,1,0.01%
16648,8151,22,9%,15,80.41%
16649,2171,21,9%,2,0.20%
16650,1477,48,31%,29,0.19%
16651,13553,47,20%,40,32.40%
16652,3980,23,18%,11,92.76%
16653,6335,22,26%,3,3.47%
16654,2635,23,23%,14,3.46%
16655,13548,22,32%,5,0.26%
16656,1417,23,32%,19,75.82%
16657,5591,47,25%,39,0.00%
16658,3292,24,32%,17,34.12%
16659,1857,36,32%,26,1.56%
16660,6706,29,18%,1,0.89%
16661,4840,23,6%,11,77.99%
16662,2585,47,20%,6,75.78%
16663,2681,20,7%,7,38.25%
16664,9505,34,21%,22,25.19%
16665,10703,46,11%,20,1.92%
16666,1406,22,18%,5,1.76%
16667,1941,35,31%,26,4.47%
16668,6233,23,32%,8,18.78%
16669,8677,22,25%,10,78.03%
16670,1609,21,24%,9,2.17%
16671,1153,23,22%,18,83.81%
16672,13285,19,31%,11,41.48%
16673,13384,11,7%,1,3.55%
16674,8506,33,21%,9,18.78%
16675,2750,45,20%,28,1.15%
16676,2055,21,16%,15,5.30%
16677,99108,22,19%,14,8.85%
16678,4794,43,20%,24,7.24%
16679,3552,35,11%,15,25.89%
16680,7618,20,16%,2,0.73%
16681,5191,24,19%,20,1.14%
16682,3773,24,25%,9,17.97%
16683,4170,11,18%,3,38.57%
16684,9808,11,22%,1,69.86%
16685,2528,22,30%,5,0.01%
16686,3249,23,29%,17,72.42%
16687,2002,19,11%,1,4.01%
16688,5267,33,32%,1,8.02%
16689,2596,22,29%,16,0.03%
16690,3333,47,29%,21,0.10%
16691,5828,36,24%,19,91.45%
16692,1863,22,6%,4,8.28%
16693,8595,24,16%,1,0.12%
16694,3004,47,30%,22,13.06%
16695,5656,29,10%,22,29.33%
16696,4564,12,29%,2,73.70%
16697,7442,36,32%,3,1.37%
16698,14523,23,12%,4,26.76%
16699,3452,23,23%,3,64.18%
16700,15691,21,19%,16,46.61%
16701,10443,23,23%,5,84.58%
16702,3574,22,24%,6,1.70%
16703,3471,46,12%,24,75.02%
16704,23806,45,23%,4,8.82%
16705,13239,22,27%,9,5.23%
16706,2939,23,27%,11,2.55%
16707,4989,11,21%,2,44.55%
16708,2937,23,8%,18,5.59%
16709,9707,22,22%,16,8.78%
16710,7693,47,25%,21,0.53%
16711,10582,22,13%,3,60.77%
16712,3272,23,19%,7,8.63%
16713,5775,23,26%,19,3.83%
16714,3335,11,21%,6,40.22%
16715,1737,23,24%,14,89.49%
16716,17029,22,14%,19,3.98%
16717,2881,31,27%,9,0.00%
16718,1334,23,10%,6,0.06%
16719,4460,47,14%,15,51.93%
16720,4843,38,9%,21,1.14%
16721,2691,23,19%,6,83.73%
16722,13324,22,22%,9,46.33%
16723,26939,44,17%,41,0.01%
16724,2121,21,24%,6,6.66%
16725,7741,22,16%,19,15.12%
16726,4280,23,32%,19,13.76%
16727,11403,26,14%,7,2.64%
16728,1839,11,14%,3,63.08%
16729,3614,17,22%,3,0.03%
16730,7857,23,23%,16,79.82%
16731,1287,23,6%,7,1.01%
16732,27518,11,27%,3,0.02%
16733,4714,22,14%,7,30.04%
16734,10280,24,6%,14,29.99%
16735,32043,23,21%,4,2.60%
16736,18297,24,28%,19,4.83%
16737,12189,22,12%,4,36.11%
16738,3785,22,11%,17,0.52%
16739,3700,22,18%,4,63.05%
16740,5548,12,11%,9,13.89%
16741,5611,48,9%,8,19.27%
16742,11896,44,6%,9,1.66%
16743,2165,23,26%,6,0.07%
16744,1298,19,10%,13,2.18%
16745,89684,22,24%,3,2.27%
16746,4295,11,24%,6,40.58%
16747,2170,23,14%,18,25.17%
16748,7026,47,20%,9,8.26%
16749,2110,22,8%,10,0.24%
16750,5676,23,27%,18,56.22%
16751,23837,23,6%,21,1.97%
16752,21745,12,15%,6,24.27%
16753,6225,35,27%,12,1.05%
16754,36694,24,18%,19,5.49%
16755,7856,48,13%,14,3.58%
16756,10256,23,9%,11,14.38%
16757,1572,12,8%,3,0.51%
16758,2729,22,6%,2,5.07%
16759,2121,11,13%,2,0.00%
16760,4908,24,17%,20,1.44%
16761,5637,22,20%,11,79.91%
16762,5091,11,16%,1,47.54%
16763,5393,35,21%,26,26.19%
16764,13104,47,27%,16,0.83%
16765,4094,35,20%,4,76.99%
16766,18141,43,29%,15,16.91%
16767,6593,22,13%,11,18.64%
16768,12492,35,28%,8,82.40%
16769,2687,22,32%,20,21.72%
16770,25561,23,8%,18,11.96%
16771,12885,23,20%,17,0.10%
16772,2112,22,27%,14,84.42%
16773,3195,22,29%,4,13.49%
16774,1874,11,24%,2,96.20%
16775,11870,11,29%,3,88.24%
16776,1248,35,17%,28,10.05%
16777,1898,24,16%,1,0.26%
16778,1803,35,20%,3,0.11%
16779,4851,11,15%,3,2.01%
16780,3237,12,29%,1,1.03%
16781,18027,22,11%,6,57.66%
16782,12978,23,7%,20,0.00%
16783,12585,34,22%,2,15.89%
16784,3229,60,13%,1,2.66%
16785,3635,23,9%,8,63.40%
16786,2463,35,16%,1,6.01%
16787,7787,18,16%,1,5.36%
16788,5324,47,13%,5,6.73%
16789,3751,36,32%,1,24.49%
16790,3542,21,22%,13,51.90%
16791,6915,35,9%,20,0.64%
